2021-11-02 18:17:44 status half-installed gzip:amd64 1.9-3
2021-11-02 18:17:44 status unpacked gzip:amd64 1.9-3
2021-11-02 18:17:44 install hostname:amd64 <none> 3.21
2021-11-02 18:17:44 status half-installed hostname:amd64 3.21
2021-11-02 18:17:44 status unpacked hostname:amd64 3.21
2021-11-02 18:17:44 install init-system-helpers:all <none> 1.56+nmu1
2021-11-02 18:17:44 status half-installed init-system-helpers:all 1.56+nmu1
2021-11-02 18:17:44 status unpacked init-system-helpers:all 1.56+nmu1
2021-11-02 18:17:44 install libc-bin:amd64 <none> 2.28-10
2021-11-02 18:17:44 status half-installed libc-bin:amd64 2.28-10
2021-11-02 18:17:44 status unpacked libc-bin:amd64 2.28-10
2021-11-02 18:17:44 install libpam-runtime:all <none> 1.3.1-5
2021-11-02 18:17:44 status half-installed libpam-runtime:all 1.3.1-5
2021-11-02 18:17:44 status unpacked libpam-runtime:all 1.3.1-5
2021-11-02 18:17:44 upgrade mawk:amd64 1.3.3-17+b3 1.3.3-17+b3
2021-11-02 18:17:44 status half-configured mawk:amd64 1.3.3-17+b3
2021-11-02 18:17:44 status unpacked mawk:amd64 1.3.3-17+b3
2021-11-02 18:17:44 status half-installed mawk:amd64 1.3.3-17+b3
2021-11-02 18:17:44 status unpacked mawk:amd64 1.3.3-17+b3
2021-11-02 18:17:44 install libunistring2:amd64 <none> 0.9.10-1
2021-11-02 18:17:44 status half-installed libunistring2:amd64 0.9.10-1
2021-11-02 18:17:45 status unpacked libunistring2:amd64 0.9.10-1
2021-11-02 18:17:45 install libselinux1:amd64 <none> 2.8-1+b1
2021-11-02 18:17:45 status half-installed libselinux1:amd64 2.8-1+b1
2021-11-02 18:17:45 status unpacked libselinux1:amd64 2.8-1+b1
2021-11-02 18:17:45 install zlib1g:amd64 <none> 1:1.2.11.dfsg-1
2021-11-02 18:17:45 status half-installed zlib1g:amd64 1:1.2.11.dfsg-1
2021-11-02 18:17:45 status unpacked zlib1g:amd64 1:1.2.11.dfsg-1
2021-11-02 18:17:45 install tar:amd64 <none> 1.30+dfsg-6
2021-11-02 18:17:45 status half-installed tar:amd64 1.30+dfsg-6
2021-11-02 18:17:45 status unpacked tar:amd64 1.30+dfsg-6
2021-11-02 18:17:45 upgrade perl-base:amd64 5.28.1-6+deb10u1 5.28.1-6+deb10u1
2021-11-02 18:17:45 status half-configured perl-base:amd64 5.28.1-6+deb10u1
2021-11-02 18:17:45 status unpacked perl-base:amd64 5.28.1-6+deb10u1
2021-11-02 18:17:45 status half-installed perl-base:amd64 5.28.1-6+deb10u1
2021-11-02 18:17:45 status unpacked perl-base:amd64 5.28.1-6+deb10u1
2021-11-02 18:17:46 install libsemanage-common:all <none> 2.8-2
2021-11-02 18:17:46 status half-installed libsemanage-common:all 2.8-2
2021-11-02 18:17:46 status unpacked libsemanage-common:all 2.8-2
2021-11-02 18:17:46 install libsepol1:amd64 <none> 2.8-1
2021-11-02 18:17:46 status half-installed libsepol1:amd64 2.8-1
2021-11-02 18:17:46 status unpacked libsepol1:amd64 2.8-1
2021-11-02 18:17:46 install libsemanage1:amd64 <none> 2.8-2
2021-11-02 18:17:46 status half-installed libsemanage1:amd64 2.8-2
2021-11-02 18:17:46 status unpacked libsemanage1:amd64 2.8-2
2021-11-02 18:17:46 install passwd:amd64 <none> 1:4.5-1.1
2021-11-02 18:17:46 status half-installed passwd:amd64 1:4.5-1.1
2021-11-02 18:17:46 status unpacked passwd:amd64 1:4.5-1.1
2021-11-02 18:17:46 install libstdc++6:amd64 <none> 8.3.0-6
2021-11-02 18:17:46 status half-installed libstdc++6:amd64 8.3.0-6
2021-11-02 18:17:46 status unpacked libstdc++6:amd64 8.3.0-6
2021-11-02 18:17:46 install libsystemd0:amd64 <none> 241-7~deb10u8
2021-11-02 18:17:46 status half-installed libsystemd0:amd64 241-7~deb10u8
2021-11-02 18:17:46 status unpacked libsystemd0:amd64 241-7~deb10u8
2021-11-02 18:17:46 install libudev1:amd64 <none> 241-7~deb10u8
2021-11-02 18:17:46 status half-installed libudev1:amd64 241-7~deb10u8
2021-11-02 18:17:46 status unpacked libudev1:amd64 241-7~deb10u8
2021-11-02 18:17:46 install libzstd1:amd64 <none> 1.3.8+dfsg-3+deb10u2
2021-11-02 18:17:46 status half-installed libzstd1:amd64 1.3.8+dfsg-3+deb10u2
2021-11-02 18:17:46 status unpacked libzstd1:amd64 1.3.8+dfsg-3+deb10u2
2021-11-02 18:17:46 install libtasn1-6:amd64 <none> 4.13-3
2021-11-02 18:17:46 status half-installed libtasn1-6:amd64 4.13-3
2021-11-02 18:17:46 status unpacked libtasn1-6:amd64 4.13-3
2021-11-02 18:17:46 install libseccomp2:amd64 <none> 2.3.3-4
2021-11-02 18:17:46 status half-installed libseccomp2:amd64 2.3.3-4
2021-11-02 18:17:46 status unpacked libseccomp2:amd64 2.3.3-4
2021-11-02 18:17:46 install libtinfo6:amd64 <none> 6.1+20181013-2+deb10u2
2021-11-02 18:17:46 status half-installed libtinfo6:amd64 6.1+20181013-2+deb10u2
2021-11-02 18:17:46 status unpacked libtinfo6:amd64 6.1+20181013-2+deb10u2
2021-11-02 18:17:46 install libuuid1:amd64 <none> 2.33.1-0.1
2021-11-02 18:17:46 status half-installed libuuid1:amd64 2.33.1-0.1
2021-11-02 18:17:46 status unpacked libuuid1:amd64 2.33.1-0.1
2021-11-02 18:17:47 install libss2:amd64 <none> 1.44.5-1+deb10u3
2021-11-02 18:17:47 status half-installed libss2:amd64 1.44.5-1+deb10u3
2021-11-02 18:17:47 status unpacked libss2:amd64 1.44.5-1+deb10u3
2021-11-02 18:17:47 install libsmartcols1:amd64 <none> 2.33.1-0.1
2021-11-02 18:17:47 status half-installed libsmartcols1:amd64 2.33.1-0.1
2021-11-02 18:17:47 status unpacked libsmartcols1:amd64 2.33.1-0.1
2021-11-02 18:17:47 install login:amd64 <none> 1:4.5-1.1
2021-11-02 18:17:47 status half-installed login:amd64 1:4.5-1.1
2021-11-02 18:17:47 status unpacked login:amd64 1:4.5-1.1
2021-11-02 18:17:47 install util-linux:amd64 <none> 2.33.1-0.1
2021-11-02 18:17:47 status half-installed util-linux:amd64 2.33.1-0.1
2021-11-02 18:17:47 status unpacked util-linux:amd64 2.33.1-0.1
2021-11-02 18:17:47 install mount:amd64 <none> 2.33.1-0.1
2021-11-02 18:17:47 status half-installed mount:amd64 2.33.1-0.1
2021-11-02 18:17:47 status unpacked mount:amd64 2.33.1-0.1
2021-11-02 18:17:47 install ncurses-base:all <none> 6.1+20181013-2+deb10u2
2021-11-02 18:17:47 status half-installed ncurses-base:all 6.1+20181013-2+deb10u2
2021-11-02 18:17:47 status unpacked ncurses-base:all 6.1+20181013-2+deb10u2
2021-11-02 18:17:47 install ncurses-bin:amd64 <none> 6.1+20181013-2+deb10u2
2021-11-02 18:17:47 status half-installed ncurses-bin:amd64 6.1+20181013-2+deb10u2
2021-11-02 18:17:48 status unpacked ncurses-bin:amd64 6.1+20181013-2+deb10u2
2021-11-02 18:17:48 install sed:amd64 <none> 4.7-1
2021-11-02 18:17:48 status half-installed sed:amd64 4.7-1
2021-11-02 18:17:48 status unpacked sed:amd64 4.7-1
2021-11-02 18:17:48 install sysvinit-utils:amd64 <none> 2.93-8
2021-11-02 18:17:48 status half-installed sysvinit-utils:amd64 2.93-8
2021-11-02 18:17:48 status unpacked sysvinit-utils:amd64 2.93-8
2021-11-02 18:17:48 install tzdata:all <none> 2021a-0+deb10u2
2021-11-02 18:17:48 status half-installed tzdata:all 2021a-0+deb10u2
2021-11-02 18:17:48 status unpacked tzdata:all 2021a-0+deb10u2
2021-11-02 18:17:49 startup packages configure
2021-11-02 18:17:49 configure debian-archive-keyring:all 2019.1+deb10u1 <none>
2021-11-02 18:17:49 status unpacked debian-archive-keyring:all 2019.1+deb10u1
2021-11-02 18:17:49 status half-configured debian-archive-keyring:all 2019.1+deb10u1
2021-11-02 18:17:49 status installed debian-archive-keyring:all 2019.1+deb10u1
2021-11-02 18:17:49 configure libaudit-common:all 1:2.8.4-3 <none>
2021-11-02 18:17:49 status unpacked libaudit-common:all 1:2.8.4-3
2021-11-02 18:17:49 status half-configured libaudit-common:all 1:2.8.4-3
2021-11-02 18:17:49 status installed libaudit-common:all 1:2.8.4-3
2021-11-02 18:17:49 configure libsemanage-common:all 2.8-2 <none>
2021-11-02 18:17:49 status unpacked libsemanage-common:all 2.8-2
2021-11-02 18:17:49 status half-configured libsemanage-common:all 2.8-2
2021-11-02 18:17:49 status installed libsemanage-common:all 2.8-2
2021-11-02 18:17:49 configure ncurses-base:all 6.1+20181013-2+deb10u2 <none>
2021-11-02 18:17:49 status unpacked ncurses-base:all 6.1+20181013-2+deb10u2
2021-11-02 18:17:49 status half-configured ncurses-base:all 6.1+20181013-2+deb10u2
2021-11-02 18:17:49 status installed ncurses-base:all 6.1+20181013-2+deb10u2
